,dt,sstlat,tid,clat,clon,psmin,rp,dp,zp,exppr
1659,0007-09-03 00:00:00,13.0,2347301,19.810292,306.75,1002.9130506219001,288246.366782007,1533.3979238754325,7694.9152542372885,1.3597647058823532
1660,0007-09-04 00:00:00,13.0,2353936,15.429817,128.792819,1007.0339281904,293270.5882352941,892.7889273356401,9898.305084745763,1.1897993079584774
1661,0007-09-04 00:00:00,13.0,2354237,-6.095422,144.207277,,,,,
1662,0007-09-04 00:00:00,13.0,2354336,-7.798348,255.75,,,,,
1663,0007-09-05 00:00:00,13.0,2363874,13.977278,101.457317,1006.2852132828999,239648.4429065744,851.0449826989619,12271.186440677966,1.0755294117647058
1664,0007-09-05 00:00:00,13.0,2363941,-7.907115,145.707268,,,,,
1665,0007-09-06 00:00:00,13.0,2367837,-11.093867,157.292676,,,,,
1666,0007-09-06 00:00:00,13.0,2367839,-8.055724,167.457285,,,,,
1667,0007-09-06 00:00:00,13.0,2367841,-15.230344,287.79275,,,,,
1668,0007-09-09 00:00:00,13.5,2372999,-6.462846,9.0,,,,,
1669,0007-09-09 00:00:00,13.5,2373002,-4.798332,24.0,,,,,
1670,0007-09-09 00:00:00,13.5,2373003,-7.2917,89.042706,,,,,
1671,0007-09-10 00:00:00,13.0,2373533,-6.660244,38.25,,,,,
1672,0007-09-10 00:00:00,13.0,2373535,-5.676752,108.9573,,,,,
1673,0007-09-11 00:00:00,13.5,2374032,-6.722101,206.457306,,,,,
1674,0007-09-12 00:00:00,13.0,2374528,15.15794,42.75,1005.83311892,241505.8823529412,614.2283737024222,11423.728813559323,1.0755294117647058
1675,0007-09-12 00:00:00,13.0,2374597,19.7283,48.75,1009.9839478811,216141.17647058822,788.4290657439446,6000.0,1.0755294117647058
1676,0007-09-13 00:00:00,13.0,2375134,16.486267,37.5,995.9447370553,112611.76470588236,1811.9584775086505,7864.406779661017,1.0755294117647058
1677,0007-09-13 00:00:00,13.0,2375196,26.425967,93.0,1005.8219898212,306729.4117647059,1275.7093425605535,9389.830508474577,1.216705882352941
1678,0007-09-15 00:00:00,13.0,2376159,26.393149,94.292735,1012.0447234628,293270.5882352941,614.2283737024222,7864.406779661017,1.216705882352941
1679,0007-09-16 00:00:00,13.0,2376664,-8.281242,141.75,,,,,
1680,0007-09-17 00:00:00,13.0,2377132,10.733369,39.0,1013.0902388254,151435.29411764705,488.9965397923876,9389.830508474577,1.0755294117647058
1681,0007-09-17 00:00:00,13.0,2377196,-10.030923,132.542762,,,,,
1682,0007-09-17 00:00:00,13.0,2377198,-8.002173,84.207289,,,,,
1683,0007-09-17 00:00:00,13.0,2377200,14.14368,167.792681,1011.1523450248001,99670.58823529413,530.7404844290659,8711.864406779661,1.0755294117647058
1684,0007-09-20 00:00:00,13.0,2379096,21.115857,327.75,1008.4216910449001,90170.24221453287,851.0449826989619,6000.0,1.0755294117647058
1685,0007-09-20 00:00:00,13.0,2379172,-8.155879,135.0,,,,,
1686,0007-09-21 00:00:00,13.0,2379887,-8.903236,128.042744,,,,,
1687,0007-09-22 00:00:00,13.0,2380632,-5.956139,6.957296,,,,,
1688,0007-09-22 00:00:00,13.0,2380634,-8.812733,51.207256,,,,,
1689,0007-09-22 00:00:00,13.0,2380636,-9.774026,120.0,,,,,
1690,0007-09-23 00:00:00,12.5,2406964,-9.574075,111.75,,,,,
1691,0007-09-23 00:00:00,12.5,2406966,17.697626,75.957248,1008.6049244692,280847.05882352946,809.3010380622837,10915.254237288136,1.0755294117647058
1692,0007-09-23 00:00:00,12.5,2407051,-8.760582,146.25,,,,,
1693,0007-09-25 00:00:00,12.5,2407880,17.468451,20.25,1009.9079843753,254447.05882352943,593.3564013840831,9559.322033898305,1.0755294117647058
1694,0007-09-25 00:00:00,12.5,2407948,-7.491194,92.792709,,,,,
1695,0007-09-26 00:00:00,13.0,2408371,-9.877005,110.042728,,,,,
1696,0007-09-27 00:00:00,12.5,2408813,9.572847,101.042717,1009.6950054674,73270.58823529411,426.38062283737025,16000.0,1.0755294117647058
1697,0007-09-27 00:00:00,12.5,2408882,14.527296,113.25,1011.2782233425,73270.58823529411,335.66782006920425,6000.0,1.7814117647058823
1698,0007-09-27 00:00:00,12.5,2408961,-10.140085,195.20731,,,,,
1699,0007-09-27 00:00:00,12.5,2408963,-8.185043,204.75,,,,,
1700,0007-09-28 00:00:00,12.5,2409383,-14.10845,98.25,,,,,
1701,0007-09-28 00:00:00,12.5,2409385,-5.858744,51.207277,,,,,
1702,0007-09-28 00:00:00,12.5,2409387,-7.67782,264.95729,,,,,
1703,0007-09-29 00:00:00,12.5,2409845,6.397222,113.25,1011.5967869034,73270.58823529411,635.1003460207614,16000.0,1.0755294117647058
1704,0007-09-30 00:00:00,13.0,2410324,-8.198431,37.5,,,,,
1705,0007-09-30 00:00:00,13.0,2410326,16.202217,6.20731,1009.4898975289001,306729.4117647059,676.8442906574396,11254.237288135593,1.216705882352941
1706,0007-09-30 00:00:00,13.0,2410396,-10.621307,140.25,,,,,
1707,0007-10-01 00:00:00,12.5,2410823,-10.250096,31.707332,,,,,
1708,0007-10-01 00:00:00,12.5,2410826,-8.065728,48.542673,,,,,
1709,0007-10-01 00:00:00,12.5,2410828,17.048686,314.457459,1010.422118569,306729.4117647059,530.7404844290659,11593.22033898305,1.0755294117647058
1710,0007-10-02 00:00:00,12.5,2411297,-8.778026,215.25,,,,,
1711,0007-10-03 00:00:00,12.5,2411717,9.520925,329.25,1010.5326151323,73270.58823529411,530.7404844290659,10067.796610169491,1.0755294117647058
1712,0007-10-03 00:00:00,12.5,2411792,9.954481,212.792745,1012.6978655672001,73270.58823529411,168.69204152249137,6169.4915254237285,1.7362352941176473
1713,0007-10-04 00:00:00,12.5,2412354,7.247208,165.0,1011.4338175877,73270.58823529411,488.9965397923876,6000.0,1.3597647058823532
1714,0007-10-06 00:00:00,12.5,2413264,-6.74591,116.04272,,,,,
1715,0007-10-06 00:00:00,12.5,2413266,17.224754,231.75,1005.4022661064,216141.17647058822,809.3010380622837,6338.983050847458,1.0755294117647058
