,dt,sstlat,sstval,tid,clat,clon,psamb,dp [hPa],rmw_target,rmw_final,rp
542,0007-07-29 00:00:00,13.0,308.15,3901525,8.006729,299.6027010475166,101749.40167399398,655.9723183391004,,,153292.73356401382
543,0007-07-30 00:00:00,12.5,308.17,3902743,18.867085,301.3338784921521,101912.4919006906,851.0449826989619,,,189741.17647058825
544,0007-08-03 00:00:00,12.5,308.2,3912068,17.649178,253.5994355674563,101775.80500837597,976.2768166089966,,,177317.64705882352
545,0007-08-05 00:00:00,12.0,308.23,3913979,17.73699,163.95687930000076,101754.46266662893,252.1799307958478,,,288246.366782007
546,0007-08-07 00:00:00,13.0,308.29,3918360,8.464094,97.2151682685285,101857.09136259703,830.1730103806228,,,285079.58477508655
547,0007-08-08 00:00:00,13.0,308.35,3919278,15.929736,353.67147753339617,101770.76183146909,809.3010380622837,,,265530.7958477509
548,0007-08-09 00:00:00,13.0,308.35,3920153,23.212803,128.594644405012,102028.16939127243,614.2283737024222,,,73270.58823529411
549,0007-08-12 00:00:00,13.0,308.31,3926656,14.713957,340.93699228014054,101703.12841699045,1296.5813148788927,,,125552.94117647059
550,0007-08-13 00:00:00,13.0,308.33,3928832,10.373551,357.833975142506,101665.49301232232,851.0449826989619,,,172567.4740484429
551,0007-08-14 00:00:00,13.0,308.26,3937915,7.656945,132.92427514351488,101867.40390091801,509.86851211072667,,,216141.17647058822
552,0007-08-17 00:00:00,12.5,308.28,3945901,15.929736,264.39826854672475,101696.85052285124,913.6608996539792,,,73270.58823529411
553,0007-08-19 00:00:00,13.0,308.32,3954931,20.978257,78.7739184871016,101870.55929482878,809.3010380622837,,,189741.17647058825
554,0007-08-21 00:00:00,12.5,308.31,3956714,20.957933,268.92823371279144,101830.14376084346,871.916955017301,,,136910.7266435986
555,0007-08-22 00:00:00,12.5,308.27,3957586,17.309056,84.76677639011729,101812.46500829836,809.3010380622837,,,222748.78892733564
556,0007-08-23 00:00:00,12.0,308.25,3961113,20.344979,14.423097226201385,102050.29482308014,335.66782006920425,,,306729.4117647059
557,0007-08-24 00:00:00,12.0,308.26,3963299,17.172987,107.6490246277225,101515.96763897115,572.484429065744,,,216141.17647058822
558,0007-08-25 00:00:00,12.0,308.24,3968222,15.820392,56.54290935687415,101694.48096155304,509.86851211072667,,,203200.0
559,0007-08-26 00:00:00,12.5,308.22,3972734,18.957293,229.7697482834117,101852.86802791603,934.5328719723184,,,86729.41176470589
560,0007-08-27 00:00:00,12.0,308.22,3976561,21.621452,185.67051395306066,102042.8147783605,1254.8373702422145,,,73270.58823529411
561,0007-08-28 00:00:00,12.0,308.28,3978671,12.074364,240.45650822258264,101760.47116178263,2424.470588235294,,,112611.76470588236
562,0007-08-31 00:00:00,13.0,308.26,3983432,19.638588,313.7657742368682,101504.433557222,426.38062283737025,,,293270.5882352941
563,0007-09-01 00:00:00,13.0,308.28,3984447,9.520925,248.572843617388,101520.26838903557,871.916955017301,,,73270.58823529411
